locus_tag,possible.G.to.A,possible.G.to.T,possible.G.to.C,possible.A.to.G,possible.A.to.T,possible.A.to.C,possible.T.to.G,possible.T.to.A,possible.T.to.C,possible.C.to.G,possible.C.to.A,possible.C.to.T,gene.length,gene
ECB_00928,477,303,303,231,53,53,178,205,369,196,236,516,4461,mukB
ECB_00929,165,113,113,122,66,68,71,86,179,77,93,168,1848,ycbB
ECB_00930,33,20,20,39,20,21,19,26,59,32,37,60,549,ycbK
ECB_00931,54,44,44,42,16,16,21,27,66,25,31,70,648,ycbL
ECB_00932,80,59,59,69,24,24,63,74,119,58,64,150,1191,aspC
ECB_00933,47,35,35,55,17,17,91,92,127,38,51,148,1089,ompF
ECB_00934,94,71,71,80,29,30,76,89,135,71,76,171,1401,asnS
ECB_00935,89,59,59,66,20,20,55,66,133,54,66,133,1203,pncB
ECB_00936,239,166,166,113,40,40,93,115,236,126,144,316,2613,pepN
ECB_00937,92,66,66,61,28,30,26,33,73,26,37,58,768,ssuB
ECB_00938,93,71,71,30,18,18,18,33,70,44,56,91,792,ssuC
ECB_00939,109,85,85,69,25,26,40,48,102,64,81,121,1146,ssuD
ECB_00940,74,50,50,69,23,23,39,48,95,55,65,103,960,ssuA
ECB_00941,50,37,37,35,16,17,26,27,57,33,37,73,576,ssuE
ECB_00942,39,27,27,39,24,24,29,35,80,14,17,27,540,ycbQ
ECB_00943,45,35,35,72,43,44,26,37,67,21,27,55,702,ycbR
ECB_00944,188,136,136,165,74,81,98,119,299,96,114,241,2601,ycbS
ECB_00945,63,48,48,81,47,51,49,59,127,47,56,96,1071,ycbT
ECB_00946,37,23,23,27,12,12,27,34,73,25,31,46,543,ycbU
ECB_00947,45,28,28,32,20,20,12,19,60,17,22,46,516,ycbV
ECB_00948,72,50,50,54,28,31,21,28,66,26,34,59,711,ycbF
ECB_00949,70,47,47,68,24,24,49,63,127,42,59,90,1011,pyrD
ECB_00950,31,18,18,37,14,15,19,23,55,27,30,59,543,ycbW
ECB_00951,64,45,45,82,39,39,49,64,132,57,67,99,1110,ycbX
ECB_00952,189,139,139,105,37,37,85,99,191,96,117,256,2109,ycbY
ECB_00953,180,120,120,123,27,27,69,83,166,83,97,212,1908,uup
ECB_00954,113,86,86,61,25,27,47,59,133,59,72,124,1254,pqiA
ECB_00955,161,108,108,102,44,45,56,71,158,58,78,151,1641,pqiB
ECB_00956,50,28,28,29,13,13,24,29,55,27,28,61,549,ymbA
ECB_00957,12,6,6,19,9,12,3,3,9,8,12,13,168,rmf
ECB_00958,38,33,33,32,11,11,24,28,43,26,28,66,519,fabA
ECB_00959,139,83,83,116,46,47,70,86,174,84,107,180,1761,ycbZ
ECB_00960,42,24,24,34,5,6,17,22,45,17,21,35,453,ycbG
ECB_00961,64,42,42,52,22,22,89,90,104,38,53,140,1041,ompA
ECB_00962,35,21,21,44,18,19,27,31,58,19,22,37,510,sulA
ECB_00963,61,40,40,46,19,20,23,29,66,20,32,47,630,yccR
ECB_00964,194,135,135,114,59,61,78,108,235,93,113,236,2154,yccS
ECB_00965,32,28,28,27,13,13,22,35,56,20,24,46,447,yccF
ECB_00966,207,132,132,128,39,41,70,93,197,79,107,185,2055,helD
ECB_00967,42,33,33,29,14,14,11,17,38,18,23,52,459,mgsA
ECB_00968,67,45,45,37,17,17,21,29,69,36,44,65,663,yccT
ECB_00969,38,32,32,28,10,10,10,18,33,25,27,44,414,yccU
ECB_00970,30,18,18,16,5,5,12,13,28,18,21,38,318,yccV
ECB_00971,87,61,61,62,20,20,45,56,115,53,65,128,1104,yccW
ECB_00972,22,16,16,23,6,7,12,13,25,13,16,24,279,yccX
ECB_00973,29,24,24,29,7,7,11,16,30,8,10,25,330,yccK
ECB_00974,63,57,57,18,12,12,31,42,70,27,36,92,660,yccA
ECB_00975,73,49,49,56,26,28,37,45,90,76,96,150,1119,hyaA
ECB_00976,146,108,108,72,21,21,45,61,125,115,142,261,1794,hyaB
ECB_00977,56,42,42,21,10,11,17,21,53,32,47,95,708,hyaC
ECB_00978,66,47,47,28,12,12,11,17,42,32,38,73,588,hyaD
ECB_00979,34,24,24,21,10,10,10,13,33,24,26,45,399,hyaE
ECB_00980,95,68,68,55,21,22,15,22,77,31,40,86,858,hyaF
ECB_00981,145,108,108,75,33,33,42,53,123,84,100,180,1545,appC
ECB_00982,106,81,81,51,30,31,31,39,100,57,71,142,1137,appB
ECB_00983,127,82,82,98,56,58,40,47,116,56,67,122,1299,appA
ECB_00984,205,130,130,124,36,37,91,114,222,96,118,224,2181,yccC
ECB_00985,32,17,17,35,19,19,21,25,45,22,27,42,447,yccY
ECB_00986,106,74,74,56,25,25,39,60,107,55,61,124,1140,yccZ
ECB_00987,154,113,113,117,55,55,78,91,199,102,117,249,2097,ymcA
ECB_00988,61,41,41,44,16,17,41,47,85,39,41,68,747,ymcB
ECB_00989,47,32,32,45,20,20,24,29,71,28,34,56,645,ymcC
ECB_00990,21,17,17,18,14,14,28,28,35,22,23,28,306,ymcD
ECB_00991,6,4,4,24,14,14,9,12,21,14,16,22,213,cspH
ECB_00992,10,6,6,15,3,3,13,14,26,8,10,20,213,cspG
ECB_00993,12,6,6,15,9,12,9,13,29,8,9,23,231,sfa
ECB_00994,10,6,6,20,4,4,2,4,11,8,13,16,174,gnsA
ECB_00995,82,62,62,76,35,37,28,41,113,50,65,103,1074,yccM
ECB_00996,271,178,178,173,69,70,86,115,251,124,161,296,2745,torS
ECB_00997,105,69,69,65,30,32,34,44,97,43,50,91,1029,torT
ECB_00998,63,51,51,43,15,15,26,37,72,32,43,73,693,torR
ECB_00999,85,53,53,71,22,22,37,53,107,59,72,127,1173,torC
ECB_01000,254,184,184,119,44,45,83,110,212,112,135,279,2547,torA
ECB_01001,66,46,46,43,14,16,14,17,50,17,22,64,600,torD
ECB_01002,36,26,26,13,4,4,12,16,31,12,17,29,306,yccD
ECB_01003,76,53,53,60,15,15,27,35,81,48,60,99,921,cbpA
ECB_01004,61,29,29,107,47,53,56,73,207,16,25,55,1260,yccE
ECB_01005,116,80,80,81,26,26,33,39,104,55,61,125,1242,agp
ECB_01006,13,9,9,21,4,4,8,10,18,12,13,20,228,yccJ
ECB_01007,31,23,23,50,24,24,32,39,55,40,41,64,597,wrbA
ECB_01008,7,2,2,19,9,10,7,7,13,7,8,18,174,ymdF
ECB_01009,123,105,105,65,36,39,48,68,134,76,92,136,1329,ycdG
ECB_01010,40,34,34,20,9,9,13,16,36,35,40,71,495,ycdH
ECB_01011,43,36,36,31,11,11,21,23,52,38,47,81,591,ycdI
ECB_01012,73,56,56,45,25,25,19,21,67,48,56,100,801,ycdJ
ECB_01013,34,27,27,17,8,8,10,16,31,21,28,51,387,ycdK
ECB_01014,61,47,47,38,16,16,15,20,55,44,52,87,693,ycdL
ECB_01015,82,54,54,56,20,21,34,41,90,83,94,153,1149,ycdM
ECB_01016,73,50,50,44,20,21,15,27,57,21,29,54,639,ycdC
ECB_01017,395,291,291,213,84,84,163,204,364,201,235,437,3963,putA
ECB_01018,158,137,137,64,31,31,40,66,132,57,80,168,1509,putP
ECB_01019,72,55,55,45,22,23,27,38,75,51,60,93,840,ycdN
ECB_01020,102,69,69,74,20,20,37,51,100,51,58,123,1128,ycdO
ECB_01021,140,93,93,72,33,35,33,40,121,50,65,118,1272,ycdB
ECB_01022,72,50,50,73,30,33,43,48,104,61,74,112,1065,phoH
ECB_01023,31,18,18,39,19,21,9,12,38,12,16,38,414,ycdP
ECB_01024,86,54,54,88,49,52,46,74,149,54,69,123,1326,ycdQ
ECB_01025,102,61,61,185,87,91,82,106,246,68,87,140,2019,ycdR
ECB_01026,132,79,79,197,80,86,113,139,301,99,116,193,2424,ycdS
ECB_01027,85,44,44,90,49,55,54,75,198,35,49,91,1359,ycdT
ECB_01028,76,53,53,42,25,28,20,22,59,35,53,95,816,insF-1
ECB_01029,24,12,12,28,9,9,15,16,24,16,19,30,309,insE-1
ECB_01030,61,43,43,66,23,25,41,51,109,48,57,86,939,ycdW
ECB_01031,41,32,32,48,24,24,29,38,88,30,39,66,738,ycdX
ECB_01032,52,38,38,39,15,15,18,20,52,22,26,53,555,ycdY
ECB_01033,48,41,41,24,17,17,19,26,43,22,26,53,492,ycdZ
ECB_01034,68,49,49,49,16,18,36,46,81,39,49,91,834,csgG
ECB_01035,19,11,11,32,14,14,19,25,58,18,20,37,417,csgF
ECB_01036,23,13,13,33,15,17,14,19,51,12,15,29,390,csgE
ECB_01037,45,23,23,41,15,17,31,38,83,18,30,59,651,csgD
ECB_01038,30,16,16,41,21,22,25,34,66,7,10,17,456,csgB
ECB_01039,18,7,7,24,14,14,43,46,61,21,23,53,456,csgA
ECB_01040,26,14,14,28,11,13,19,23,46,13,14,17,333,csgC
ECB_01041,16,10,10,25,10,11,9,13,31,15,17,31,312,ymdA
ECB_01042,34,25,25,39,17,19,29,35,64,27,30,47,534,ymdB
ECB_01043,112,74,74,84,40,43,47,56,159,76,96,139,1422,ymdC
ECB_01044,79,60,60,73,37,40,33,45,128,51,64,119,1158,mdoC
ECB_01045,113,76,76,89,29,29,65,71,152,66,79,159,1536,mdoG
ECB_01046,245,177,177,116,54,55,102,117,227,115,138,283,2544,mdoH
ECB_01047,20,16,16,5,2,2,9,13,30,10,13,24,228,yceK
ECB_01048,23,8,8,32,10,10,13,14,35,14,16,30,375,msyB
ECB_01049,80,60,60,76,50,52,44,53,105,83,107,166,1227,yceE
ECB_01050,66,49,49,67,25,25,26,33,73,55,65,101,921,htrB
ECB_01051,75,45,45,65,28,28,29,43,106,42,55,114,1053,yceA
ECB_01052,31,18,18,42,14,14,21,28,57,35,37,70,576,yceI
ECB_01053,30,23,23,31,22,23,26,30,59,31,37,70,567,yceJ
ECB_01054,14,6,6,4,2,3,3,5,23,3,6,9,141,yceO
ECB_01055,68,51,51,68,24,25,29,42,108,77,84,140,1119,solA
ECB_01056,18,9,9,19,6,7,10,13,29,10,13,20,255,yceP
ECB_01057,12,8,8,22,9,9,10,16,28,13,14,20,246,dinI
ECB_01058,68,49,49,68,36,36,41,45,93,59,72,132,1047,pyrC
ECB_01059,45,30,30,44,9,9,13,19,49,30,34,61,561,yceB
ECB_01060,42,30,30,42,13,13,18,25,59,37,44,90,648,grxB
ECB_01061,104,82,82,50,21,23,49,63,113,71,82,150,1209,yceL
ECB_01062,32,23,23,39,15,16,17,25,65,34,36,61,585,rimJ
ECB_01063,63,46,46,47,11,11,25,26,64,29,33,59,648,yceH
ECB_01064,83,66,66,54,16,17,33,39,91,49,57,94,924,mviM
ECB_01065,166,133,133,66,30,31,57,76,148,76,94,172,1536,mviN
ECB_01066,38,19,19,36,12,13,9,14,32,16,19,35,417,flgN
ECB_01067,23,18,18,22,6,6,9,12,23,15,18,35,294,flgM
ECB_01068,58,43,43,45,32,32,20,24,62,29,39,66,660,flgA
ECB_01069,32,21,21,26,9,9,15,16,38,23,28,46,417,flgB
ECB_01070,38,28,28,25,14,14,16,17,36,20,22,38,405,flgC
ECB_01071,59,44,44,32,14,14,24,33,62,48,54,91,696,flgD
ECB_01072,91,69,69,55,26,26,47,54,110,71,81,161,1206,flgE
ECB_01073,80,62,62,39,22,22,22,29,62,44,48,77,756,flgF
ECB_01074,70,49,49,47,14,14,23,29,59,50,57,96,783,flgG
ECB_01075,55,38,38,30,14,14,30,39,73,44,47,84,699,flgH
ECB_01076,103,71,71,57,35,36,48,58,105,60,70,113,1098,flgI
ECB_01077,94,64,64,61,22,22,24,27,61,43,49,102,942,flgJ
ECB_01078,152,109,109,79,32,32,62,74,162,74,89,186,1644,flgK
ECB_01079,81,50,50,59,26,26,40,48,92,38,44,95,954,flgL
ECB_01080,250,162,162,239,79,80,198,218,293,146,175,318,3186,rne
ECB_01081,20,12,12,22,10,11,16,17,36,9,10,29,321,ECB_01081
ECB_01082,94,66,66,71,19,20,50,58,106,29,41,74,960,rluC
ECB_01083,51,37,37,47,17,17,25,30,64,18,25,52,585,maf
ECB_01084,42,27,27,40,12,12,24,25,54,20,25,44,522,yceD
ECB_01085,7,4,4,12,4,4,12,12,14,13,15,27,174,rpmF
ECB_01086,99,66,66,78,37,39,49,58,115,49,64,95,1071,plsX
ECB_01087,84,65,65,44,22,22,47,62,97,47,54,105,954,fabH
ECB_01088,83,64,64,69,31,31,51,56,83,37,41,83,930,fabD
ECB_01089,46,35,35,46,21,21,47,55,81,32,45,75,735,fabG
ECB_01090,17,7,7,15,1,1,15,18,23,10,14,27,237,acpP
ECB_01091,81,59,59,72,38,38,72,84,133,60,75,137,1242,fabF
ECB_01092,74,43,43,53,29,30,38,45,97,23,37,59,810,pabC
ECB_01093,99,65,65,60,23,23,43,48,101,42,54,93,1023,yceG
ECB_01094,50,34,34,35,11,12,26,33,63,46,52,76,642,tmk
ECB_01095,85,57,57,72,32,34,46,50,110,46,51,98,1005,holB
ECB_01096,58,43,43,56,24,25,35,38,86,38,47,87,798,ycfH
ECB_01097,105,88,88,67,36,36,87,106,137,61,86,188,1434,ptsG
ECB_01098,125,88,88,123,57,58,87,101,223,119,140,261,2190,fhuE
ECB_01099,31,22,22,22,12,12,12,19,34,13,20,37,360,ycfF
ECB_01100,37,28,28,28,11,16,13,17,40,14,15,33,378,ycfL
ECB_01101,62,45,45,40,17,17,28,33,55,32,35,62,642,ycfM
ECB_01102,81,58,58,58,24,26,15,18,78,34,48,76,825,ycfN
ECB_01103,84,62,62,71,31,31,42,51,106,37,48,91,1026,nagZ
ECB_01104,49,25,25,24,5,5,16,25,59,18,25,57,543,ycfP
ECB_01105,119,91,91,77,33,33,50,68,114,56,66,157,1305,ndh
ECB_01106,51,34,34,30,14,14,28,32,57,27,33,46,540,ycfJ
ECB_01107,44,28,28,51,20,21,19,22,54,31,38,69,633,ycfQ
ECB_01108,18,14,14,28,13,13,9,12,21,11,13,21,258,ycfR
ECB_01109,79,66,66,63,35,35,41,50,94,45,55,97,963,ycfS
ECB_01110,338,245,245,194,69,70,115,146,289,159,203,401,3447,mfd
ECB_01111,91,70,70,47,26,27,32,43,109,54,67,135,1074,ycfT
ECB_01112,104,80,80,66,28,28,52,66,106,67,80,137,1200,ycfU
ECB_01113,78,57,57,31,5,5,28,31,60,30,35,90,702,ycfV
ECB_01114,110,79,79,63,25,26,33,54,126,63,85,135,1245,ycfW
ECB_01115,35,26,26,24,9,11,24,30,61,17,20,42,441,ycfX
ECB_01116,12,9,9,17,7,7,16,19,28,18,22,35,276,insA-10
ECB_01117,60,45,45,25,14,16,10,11,30,18,27,55,504,insB-10
ECB_01118,74,53,53,60,24,26,31,41,92,33,38,66,840,cobB
ECB_01119,48,35,35,68,37,39,27,38,99,31,38,64,789,ycfZ
ECB_01120,21,17,17,20,7,7,20,24,60,17,21,37,408,ymfA
ECB_01121,89,64,64,58,19,19,36,44,80,43,51,127,1047,potD
ECB_01122,82,74,74,41,25,25,25,36,67,25,37,89,795,potC
ECB_01123,84,67,67,24,13,13,23,38,71,44,56,123,828,potB
ECB_01124,88,56,56,69,14,15,54,67,103,54,61,134,1137,potA
ECB_01125,104,74,74,76,17,18,45,60,128,50,64,117,1227,pepT
ECB_01126,94,69,69,64,24,24,34,42,104,47,60,123,1122,ycfD
ECB_01127,134,94,94,92,36,37,36,48,129,71,92,161,1461,phoQ
ECB_01128,50,33,33,48,16,16,23,35,79,31,35,60,672,phoP
ECB_01129,103,71,71,76,20,20,59,70,109,70,93,191,1371,purB
ECB_01130,54,38,38,31,12,12,22,29,53,51,55,92,642,ycfC
ECB_01131,83,52,52,53,8,8,46,60,99,73,81,147,1107,trmU
ECB_01132,33,22,22,31,7,7,19,25,51,17,21,40,462,ymfB
ECB_01133,43,28,28,50,17,19,28,32,65,38,48,68,654,ymfC
ECB_01134,77,54,54,80,22,22,72,89,119,56,76,150,1251,icdA
ECB_01135,8,3,3,28,21,21,13,19,40,6,10,20,324,ycgW
ECB_01136,19,9,9,36,13,17,17,24,57,9,12,29,405,ycgX
ECB_01137,35,18,18,64,26,30,35,47,81,34,41,63,732,ycgE
ECB_01138,62,35,35,101,52,55,62,75,146,36,56,92,1212,ycgF
ECB_01139,19,10,10,23,9,9,14,17,34,2,5,10,237,ycgZ
ECB_01140,15,6,6,24,16,18,10,14,33,5,7,14,273,ymgA
ECB_01141,13,8,8,28,13,14,9,13,41,6,9,13,267,ymgB
ECB_01142,19,7,7,14,5,8,8,15,40,6,8,13,249,ymgC
ECB_01143,106,68,68,97,53,59,69,89,189,51,79,139,1524,ycgG
ECB_01144,14,11,11,13,6,9,7,9,26,10,15,24,219,ymgF
ECB_01145,64,45,45,62,28,30,40,45,103,46,54,106,1017,ycgH
ECB_01146,19,13,13,32,10,10,15,20,32,9,11,30,330,ymgD
ECB_01147,11,10,10,24,10,10,28,31,37,19,19,25,276,ECB_01147
ECB_01148,19,15,15,9,5,6,7,8,22,8,9,19,213,ycgI
ECB_01149,21,11,11,25,8,8,9,17,30,9,11,19,267,minE
ECB_01150,51,33,33,61,25,26,29,44,79,53,60,94,813,minD
ECB_01151,57,42,42,57,27,27,30,36,70,24,33,57,696,minC
ECB_01152,16,10,10,31,13,14,18,21,51,11,14,23,369,ycgJ
ECB_01153,19,9,9,34,14,16,16,18,43,18,24,44,402,ycgK
ECB_01154,28,13,13,28,6,6,13,16,40,8,11,22,327,ycgL
ECB_01155,65,44,44,38,14,14,24,29,68,31,36,62,660,ycgM
ECB_01156,29,20,20,33,8,8,16,19,47,10,16,41,447,ycgN
ECB_01157,33,15,15,54,22,23,10,14,53,22,26,44,516,hlyE
ECB_01158,30,19,19,17,8,8,19,27,56,18,24,43,420,umuD
ECB_01159,114,83,83,77,30,34,42,50,129,51,76,113,1269,umuC
ECB_01160,57,44,44,23,5,5,22,27,57,20,25,51,531,dsbB
ECB_01161,143,104,104,67,29,29,49,69,135,96,112,208,1542,nhaB
ECB_01162,68,50,50,36,10,10,26,41,83,30,36,68,720,fadR
ECB_01163,138,97,97,81,23,24,32,46,129,55,79,172,1533,ycgB
ECB_01164,123,92,92,70,29,29,45,57,114,71,80,141,1299,dadA
ECB_01165,115,80,80,44,23,23,35,48,96,62,73,110,1071,alr
ECB_01166,152,116,116,89,47,47,68,95,188,91,111,196,1737,ycgO
ECB_01167,73,51,51,44,19,20,37,55,102,50,57,106,915,ldcA
ECB_01168,63,45,45,40,19,20,22,28,58,16,25,49,612,mltE
ECB_01169,58,34,34,52,16,16,19,27,68,43,55,86,735,ycgR
ECB_01170,18,17,17,9,8,9,7,15,23,20,24,36,255,ymgE
ECB_01171,29,17,17,39,12,14,21,28,61,6,9,25,441,ycgY
ECB_01172,130,100,100,127,41,41,39,46,134,89,99,187,1698,treA
ECB_01173,106,81,81,119,46,46,62,75,146,54,67,142,1419,dhaM
ECB_01174,42,30,30,37,11,12,24,30,59,41,48,72,633,dhaL
ECB_01175,74,57,57,70,29,29,43,52,102,66,76,129,1071,dhaK
ECB_01176,173,107,107,117,60,60,62,85,211,89,115,172,1920,dhaR
ECB_01177,145,96,96,151,107,111,132,153,319,162,193,350,2868,ycgV
ECB_01178,75,59,59,80,22,22,54,62,92,46,61,135,1092,ychF
ECB_01179,36,26,26,40,11,11,29,35,73,31,38,61,585,pth
ECB_01180,18,13,13,14,6,6,14,16,30,14,15,31,279,ychH
ECB_01181,155,136,136,78,46,46,91,120,180,76,95,187,1680,ychM
ECB_01182,55,47,47,46,21,21,70,78,104,40,57,126,948,prsA
ECB_01183,74,55,55,53,24,27,41,47,93,36,42,77,852,ispE
ECB_01184,42,26,26,35,6,6,31,36,66,35,37,71,624,lolB
ECB_01185,115,78,78,75,23,23,49,58,110,62,79,139,1257,hemA
ECB_01186,76,47,47,76,20,20,62,70,113,46,57,111,1083,prfA
ECB_01187,77,57,57,48,17,17,33,41,84,36,48,82,834,hemK
ECB_01188,36,24,24,23,12,12,19,26,52,12,18,34,393,ychQ
ECB_01189,67,46,46,62,14,15,23,32,92,23,32,75,810,ychA
ECB_01190,73,52,52,50,17,17,37,47,76,36,43,97,855,kdsA
ECB_01191,10,8,8,6,4,4,1,5,6,5,7,12,108,ldrA
ECB_01192,11,9,9,5,3,3,2,5,6,5,7,12,108,ldrB
ECB_01193,11,9,9,5,3,3,2,5,6,4,6,12,108,ldrC
ECB_01194,90,65,65,62,38,38,47,64,130,49,57,113,1101,chaA
ECB_01195,17,13,13,20,2,2,5,5,23,6,8,16,231,chaB
ECB_01196,81,54,54,46,31,32,19,24,61,25,35,60,717,chaC
ECB_01197,35,25,25,24,8,8,12,16,31,15,21,37,354,ychN
ECB_01198,107,70,70,83,35,35,44,47,133,49,61,107,1254,ychP
ECB_01199,56,34,34,42,16,16,21,28,59,37,43,74,651,narL
ECB_01200,162,101,101,121,49,49,62,72,172,90,111,183,1797,narX
ECB_01201,124,101,101,62,35,36,67,85,134,58,73,165,1392,narK
ECB_01202,301,218,218,167,47,47,166,185,297,184,221,496,3744,narG
ECB_01203,139,98,98,74,20,20,55,68,121,60,78,191,1539,narH
ECB_01204,75,52,52,41,8,8,22,27,64,30,35,81,711,narJ
ECB_01205,78,63,63,16,6,6,26,32,53,23,30,92,678,narI
ECB_01206,39,30,30,34,18,24,25,28,50,37,45,65,567,ECB_01206
ECB_01208,58,40,40,48,22,22,36,51,104,33,43,86,843,purU
ECB_01209,20,9,9,37,19,19,26,29,64,15,18,32,459,ychJ
ECB_01210,72,52,52,61,37,42,44,60,110,38,43,75,945,ychK
ECB_01211,87,48,48,75,38,40,43,49,125,40,48,81,1014,hnr
ECB_01212,66,47,47,70,21,22,50,66,109,27,32,65,909,galU
ECB_01213,20,13,13,42,7,8,33,35,42,12,16,39,414,hns
ECB_01214,31,15,15,63,25,28,28,34,81,21,24,43,618,tdk
ECB_01215,172,131,131,169,62,62,197,211,276,89,137,315,2676,adhE
ECB_01216,59,43,43,31,18,18,23,37,69,23,36,65,648,ychE
ECB_01217,105,74,74,113,39,40,77,91,170,67,81,172,1632,oppA
ECB_01218,58,49,49,56,25,25,45,63,123,40,53,84,921,oppB
ECB_01219,83,65,65,40,22,22,40,48,88,40,48,103,909,oppC
ECB_01220,92,64,64,66,29,29,40,48,102,40,53,90,1014,oppD
ECB_01221,93,58,58,57,20,23,46,56,100,46,58,101,1005,oppF
ECB_01222,22,15,15,19,2,2,11,14,39,12,16,37,330,yciU
ECB_01223,101,68,68,82,37,38,49,74,153,82,100,161,1461,cls
ECB_01224,71,49,49,87,49,49,36,60,158,52,70,123,1254,kch
ECB_01225,19,12,12,29,15,15,18,20,38,8,8,19,297,yciI
ECB_01226,77,50,50,60,32,33,29,37,62,29,33,43,720,tonB
ECB_01227,23,19,19,35,13,13,21,26,47,19,24,29,399,yciA
ECB_01228,46,32,32,25,9,9,20,26,54,21,32,65,540,ispZ
ECB_01229,69,47,47,44,30,31,25,39,81,33,42,78,744,yciC
ECB_01230,39,31,31,43,27,27,29,33,74,28,31,59,639,yciD
ECB_01231,16,7,7,49,19,19,26,38,65,18,21,36,507,yciE
ECB_01232,34,19,19,54,17,18,14,23,48,19,22,40,501,yciF
ECB_01233,6,2,2,18,6,6,12,12,20,10,10,15,180,yciG
ECB_01234,72,47,47,51,25,25,27,40,77,46,53,89,807,trpA
ECB_01235,98,73,73,62,15,16,50,59,104,69,86,151,1194,trpB
ECB_01236,126,85,85,80,31,31,50,63,140,59,73,142,1359,trpC
ECB_01237,154,121,121,85,30,31,49,70,143,88,95,192,1596,trpD
ECB_01238,118,90,90,93,35,36,64,76,152,92,98,197,1563,trpE
ECB_01239,2,1,1,4,2,2,2,3,3,2,2,4,45,trpL
ECB_01240,78,51,51,62,30,34,27,38,78,43,50,83,882,yciV
ECB_01241,52,35,35,37,11,11,27,37,70,27,31,56,621,yciO
ECB_01242,95,64,64,91,42,49,67,84,186,64,80,130,1440,yciQ
ECB_01243,12,9,9,16,6,6,17,20,29,18,22,35,276,insA-11
ECB_01244,61,45,45,25,14,17,10,11,29,18,27,55,504,insB-11
ECB_01245,64,44,44,52,17,17,69,76,103,35,42,92,876,yciL
ECB_01246,44,28,28,47,20,20,20,24,62,31,38,46,591,btuR
ECB_01247,47,28,28,53,26,26,28,35,72,48,51,83,759,yciK
ECB_01248,98,59,59,75,22,22,39,51,96,43,52,95,1050,sohB
ECB_01249,19,12,12,22,7,7,4,6,21,14,16,28,252,yciN
ECB_01250,211,147,147,169,44,44,125,140,242,110,129,262,2598,topA
ECB_01251,64,50,50,73,32,33,35,49,106,49,59,95,975,cysB
ECB_01252,17,9,9,21,8,8,4,5,16,4,5,11,189,yciX
ECB_01253,205,155,155,177,81,82,103,128,250,144,172,287,2676,acnA
ECB_01254,36,21,21,42,15,15,21,29,62,38,39,73,591,ribA
ECB_01255,53,37,37,72,38,39,31,41,77,31,42,58,765,pgpB
ECB_01256,39,29,29,20,8,8,13,17,33,7,11,24,309,yciS
ECB_01257,92,53,53,73,20,22,41,49,110,64,69,129,1170,yciM
ECB_01258,66,46,46,40,21,21,49,54,93,25,29,54,738,pyrF
ECB_01259,19,11,11,32,13,13,17,21,33,18,19,31,327,yciH
ECB_01260,12,9,9,18,10,10,17,19,28,10,12,19,219,osmB
ECB_01261,44,26,26,43,16,16,34,42,78,45,55,89,750,yciT
ECB_01262,132,78,78,152,76,79,72,96,219,92,120,191,1986,yciR
ECB_01263,118,90,90,121,35,35,86,109,185,112,131,240,1935,rnb
ECB_01264,78,51,51,76,36,37,51,60,120,53,70,117,1128,yciW
ECB_01265,39,32,32,42,14,14,58,63,78,41,52,111,789,fabI
ECB_01266,31,17,17,17,9,11,14,18,43,15,19,30,354,ycjD
ECB_01267,82,54,54,44,17,17,24,39,84,37,43,75,807,sapF
ECB_01268,80,56,56,58,20,20,39,52,104,44,54,95,993,sapD
ECB_01269,77,67,67,42,24,24,33,44,82,56,64,113,891,sapC
ECB_01270,84,62,62,39,16,16,30,48,98,51,68,118,966,sapB
ECB_01271,149,103,103,81,27,27,52,66,158,92,102,190,1644,sapA
ECB_01272,16,7,7,19,6,6,6,9,24,10,13,26,246,ymjA
ECB_01273,142,120,120,62,28,29,33,49,107,74,90,178,1386,ycjJ
ECB_01274,130,80,80,72,26,27,47,55,137,70,82,157,1419,ycjK
ECB_01275,71,43,43,47,19,22,34,38,80,27,39,72,765,ycjL
ECB_01276,54,35,35,31,12,13,19,27,54,24,31,54,558,ycjC
ECB_01277,125,97,97,81,25,25,36,49,108,102,116,206,1488,aldH
ECB_01278,112,86,86,44,14,14,33,39,86,99,113,206,1281,ordL
ECB_01279,132,102,102,53,17,17,35,53,96,74,82,154,1266,goaG
ECB_01280,97,63,63,63,19,21,32,39,96,43,53,95,978,pspF
ECB_01281,65,40,40,63,14,15,24,30,55,17,21,59,669,pspA
ECB_01282,20,14,14,18,4,5,9,13,29,4,7,15,225,pspB
ECB_01283,30,22,22,20,7,8,16,21,39,16,18,40,360,pspC
ECB_01284,26,18,18,17,8,9,12,12,20,8,10,16,222,pspD
ECB_01285,25,13,13,23,8,8,13,15,25,16,20,35,315,pspE
ECB_01286,108,70,70,119,49,52,53,78,223,54,66,133,1680,ycjM
ECB_01287,102,74,74,88,28,28,49,62,104,64,77,142,1293,ycjN
ECB_01288,92,81,81,25,9,11,16,24,65,53,67,124,882,ycjO
ECB_01289,88,75,75,24,12,12,19,28,60,43,59,115,843,ycjP
ECB_01290,77,59,59,47,13,13,30,41,83,72,85,144,1053,ycjQ
ECB_01291,64,45,45,37,7,7,20,26,67,48,61,105,789,ycjR
ECB_01292,98,74,74,53,21,21,27,32,81,54,65,126,1056,ycjS
ECB_01293,195,128,128,123,48,51,78,100,222,103,125,231,2268,ycjT
ECB_01294,72,52,52,34,13,14,15,25,51,38,47,82,660,ycjU
ECB_01295,99,71,71,67,22,22,27,44,97,45,61,97,1083,ycjV
